КодФирмы,Территория
421,"02. див. Восточная Сибирь"
3084,"05. див. Юг"
513,"03. див. Западная Сибирь"
455,"10. див. Приволжский"
1744,"02. див. Восточная Сибирь"
322,"04. див. Урал"
1219,"04. див. Урал"
878,"08. див. Центральный"
371,"04. див. Урал"
201,"06. див. Средняя Волга"
338,"09. див. Черноземье"
1273,"04. див. Урал"
2934,"06. див. Средняя Волга"
1075,"05. див. Юг"
2140,"10. див. Приволжский"
1195,"02. див. Восточная Сибирь"
2697,"11. див. Северо-Западный"
2855,"05. див. Юг"
3147,"06. див. Средняя Волга"
1216,"07. див. Верхняя Волга"
1752,"04. див. Урал"
491,"03. див. Западная Сибирь"
1092,"04. див. Урал"
1444,"01. див. Дальний Восток"
479,"10. див. Приволжский"
531,"07. див. Верхняя Волга"
183,"05. див. Юг"
706,"10. див. Приволжский"
1139,"09. див. Черноземье"
676,"09. див. Черноземье"
2484,"11. див. Северо-Западный"
528,"05. див. Юг"
385,"05. див. Юг"
2337,"06. див. Средняя Волга"
1636,"01. див. Дальний Восток"
1758,"04. див. Урал"
1592,"05. див. Юг"
3338,"07. див. Верхняя Волга"
3341,"11. див. Северо-Западный"
3342,"11. див. Северо-Западный"
3346,"07. див. Верхняя Волга"
3370,"04. див. Урал"
3374,"07. див. Верхняя Волга"
3375,"11. див. Северо-Западный"
3385,"03. див. Западная Сибирь"
3387,"11. див. Северо-Западный"
3396,"06. див. Средняя Волга"
3401,"03. див. Западная Сибирь"
3417,"06. див. Средняя Волга"
3422,"07. див. Верхняя Волга"
3425,"08. див. Центральный"
3427,"07. див. Верхняя Волга"
3431,"04. див. Урал"
3436,"04. див. Урал"
3437,"04. див. Урал"
3469,"06. див. Средняя Волга"
3471,"01. див. Дальний Восток"
1365,"04. див. Урал"
410,"02. див. Восточная Сибирь"
1761,"03. див. Западная Сибирь"
1328,"04. див. Урал"
715,"06. див. Средняя Волга"
1307,"01. див. Дальний Восток"
868,"08. див. Центральный"
337,"06. див. Средняя Волга"
1301,"04. див. Урал"
1352,"03. див. Западная Сибирь"
851,"10. див. Приволжский"
501,"05. див. Юг"
343,"07. див. Верхняя Волга"
69,"01. див. Дальний Восток"
908,"10. див. Приволжский"
734,"09. див. Черноземье"
1133,"04. див. Урал"
84,"02. див. Восточная Сибирь"
85,"02. див. Восточная Сибирь"
3054,"01. див. Дальний Восток"
2189,"02. див. Восточная Сибирь"
315,"06. див. Средняя Волга"
1430,"04. див. Урал"
873,"07. див. Верхняя Волга"
1143,"04. див. Урал"
2897,"09. див. Черноземье"
1063,"03. див. Западная Сибирь"
1132,"04. див. Урал"
1766,"04. див. Урал"
3098,"11. див. Северо-Западный"
448,"07. див. Верхняя Волга"
1085,"05. див. Юг"
347,"05. див. Юг"
1400,"10. див. Приволжский"
217,"04. див. Урал"
340,"04. див. Урал"
3316,"11. див. Северо-Западный"
1193,"03. див. Западная Сибирь"
362,"03. див. Западная Сибирь"
1306,"01. див. Дальний Восток"
3096,"09. див. Черноземье"
454,"09. див. Черноземье"
910,"07. див. Верхняя Волга"
346,"05. див. Юг"
1501,"10. див. Приволжский"
1502,"10. див. Приволжский"
253,"06. див. Средняя Волга"
525,"03. див. Западная Сибирь"
1277,"01. див. Дальний Восток"
1591,"05. див. Юг"
1144,"07. див. Верхняя Волга"
488,"03. див. Западная Сибирь"
2476,"08. див. Центральный"
2150,"11. див. Северо-Западный"
1426,"09. див. Черноземье"
697,"09. див. Черноземье"
2601,"02. див. Восточная Сибирь"
733,"09. див. Черноземье"
1211,"07. див. Верхняя Волга"
1019,"05. див. Юг"
143,"02. див. Восточная Сибирь"
3078,"06. див. Средняя Волга"
660,"08. див. Центральный"
3484,"09. див. Черноземье"
3541,"04. див. Урал"
3472,"10. див. Приволжский"
3636,"06. див. Средняя Волга"
3637,"09. див. Черноземье"
3642,"09. див. Черноземье"
3661,"06. див. Средняя Волга"
3710,"09. див. Черноземье"
3724,"11. див. Северо-Западный"
3725,"11. див. Северо-Западный"
3726,"11. див. Северо-Западный"
3727,"11. див. Северо-Западный"
3747,"04. див. Урал"
3761,"06. див. Средняя Волга"
3762,"03. див. Западная Сибирь"
3772,"01. див. Дальний Восток"
3843,"06. див. Средняя Волга"
3858,"10. див. Приволжский"
3485,"09. див. Черноземье"
3488,"03. див. Западная Сибирь"
3496,"04. див. Урал"
3513,"11. див. Северо-Западный"
3514,"11. див. Северо-Западный"
3537,"04. див. Урал"
3723,"04. див. Урал"
3746,"10. див. Приволжский"
3840,"04. див. Урал"
3894,"05. див. Юг"
3924,"06. див. Средняя Волга"
3930,"10. див. Приволжский"
3931,"04. див. Урал"
3932,"04. див. Урал"
3939,"04. див. Урал"
3947,"04. див. Урал"
3910,"04. див. Урал"
3991,"06. див. Средняя Волга"
4072,"09. див. Черноземье"
4079,"09. див. Черноземье"
4028,"02. див. Восточная Сибирь"
4071,"03. див. Западная Сибирь"
4097,"09. див. Черноземье"
4191,"05. див. Юг"
4207,"03. див. Западная Сибирь"
4109,"01. див. Дальний Восток"
4115,"05. див. Юг"
4116,"05. див. Юг"
4117,"05. див. Юг"
4118,"01. див. Дальний Восток"
4131,"05. див. Юг"
4255,"04. див. Урал"
4256,"04. див. Урал"
4259,"03. див. Западная Сибирь"
4301,"01. див. Дальний Восток"
4311,"06. див. Средняя Волга"
4319,"04. див. Урал"
4343,"04. див. Урал"
4688,"06. див. Средняя Волга"
4689,"06. див. Средняя Волга"
4418,"03. див. Западная Сибирь"
1035,"06. див. Средняя Волга"
4532,"04. див. Урал"
4533,"03. див. Западная Сибирь"
4569,"03. див. Западная Сибирь"
4591,"03. див. Западная Сибирь"
4687,"07. див. Верхняя Волга"
4713,"04. див. Урал"
4792,"06. див. Средняя Волга"
4822,"07. див. Верхняя Волга"
4858,"09. див. Черноземье"
437,"07. див. Верхняя Волга"
1244,"09. див. Черноземье"
2498,"03. див. Западная Сибирь"
1332,"11. див. Северо-Западный"
900,"09. див. Черноземье"
1152,"09. див. Черноземье"
3061,"05. див. Юг"
341,"04. див. Урал"
882,"11. див. Северо-Западный"
755,"04. див. Урал"
1074,"05. див. Юг"
777,"08. див. Центральный"
659,"08. див. Центральный"
1034,"06. див. Средняя Волга"
530,"07. див. Верхняя Волга"
2832,"09. див. Черноземье"
2833,"05. див. Юг"
3171,"11. див. Северо-Западный"
344,"07. див. Верхняя Волга"
1625,"02. див. Восточная Сибирь"
2160,"04. див. Урал"
456,"10. див. Приволжский"
2599,"06. див. Средняя Волга"
838,"10. див. Приволжский"
3097,"05. див. Юг"
1557,"04. див. Урал"
3250,"04. див. Урал"
514,"06. див. Средняя Волга"
696,"09. див. Черноземье"
449,"07. див. Верхняя Волга"
113,"01. див. Дальний Восток"
28,"02. див. Восточная Сибирь"
232,"10. див. Приволжский"
406,"04. див. Урал"
532,"06. див. Средняя Волга"
1126,"09. див. Черноземье"
1774,"02. див. Восточная Сибирь"
707,"10. див. Приволжский"
1775,"01. див. Дальний Восток"
922,"03. див. Западная Сибирь"
1210,"07. див. Верхняя Волга"
773,"11. див. Северо-Западный"
1776,"01. див. Дальний Восток"
918,"09. див. Черноземье"
1330,"03. див. Западная Сибирь"
493,"03. див. Западная Сибирь"
427,"04. див. Урал"
196,"01. див. Дальний Восток"
402,"04. див. Урал"
538,"02. див. Восточная Сибирь"
133,"04. див. Урал"
1027,"05. див. Юг"
1198,"02. див. Восточная Сибирь"
699,"06. див. Средняя Волга"
1831,"05. див. Юг"
342,"04. див. Урал"
3199,"06. див. Средняя Волга"
1783,"01. див. Дальний Восток"
1784,"04. див. Урал"
1785,"06. див. Средняя Волга"
2618,"11. див. Северо-Западный"
678,"06. див. Средняя Волга"
1258,"09. див. Черноземье"
2748,"11. див. Северо-Западный"
3051,"05. див. Юг"
1788,"03. див. Западная Сибирь"
708,"08. див. Центральный"
766,"01. див. Дальний Восток"
12,"01. див. Дальний Восток"
1789,"03. див. Западная Сибирь"
866,"10. див. Приволжский"
1165,"05. див. Юг"
1224,"05. див. Юг"
453,"04. див. Урал"
713,"02. див. Восточная Сибирь"
26,"01. див. Дальний Восток"
694,"09. див. Черноземье"
1790,"01. див. Дальний Восток"
1344,"04. див. Урал"
1250,"11. див. Северо-Западный"
527,"05. див. Юг"
602,"07. див. Верхняя Волга"
129,"03. див. Западная Сибирь"
1791,"03. див. Западная Сибирь"
695,"09. див. Черноземье"
911,"07. див. Верхняя Волга"
364,"07. див. Верхняя Волга"
1548,"04. див. Урал"
345,"05. див. Юг"
867,"08. див. Центральный"
794,"07. див. Верхняя Волга"
1209,"05. див. Юг"
776,"08. див. Центральный"
672,"03. див. Западная Сибирь"
1608,"09. див. Черноземье"
3042,"04. див. Урал"
1025,"05. див. Юг"
1274,"09. див. Черноземье"
487,"03. див. Западная Сибирь"
3099,"04. див. Урал"
1798,"04. див. Урал"
674,"04. див. Урал"
2917,"10. див. Приволжский"
610,"09. див. Черноземье"
765,"05. див. Юг"
712,"07. див. Верхняя Волга"
605,"06. див. Средняя Волга"
673,"05. див. Юг"
671,"03. див. Западная Сибирь"
774,"08. див. Центральный"
658,"01. див. Дальний Восток"
1021,"04. див. Урал"
1147,"02. див. Восточная Сибирь"
537,"02. див. Восточная Сибирь"
497,"03. див. Западная Сибирь"
3066,"01. див. Дальний Восток"
1076,"05. див. Юг"
3048,"06. див. Средняя Волга"
152,"05. див. Юг"
1638,"04. див. Урал"
2998,"06. див. Средняя Волга"
925,"05. див. Юг"
62,"03. див. Западная Сибирь"
490,"03. див. Западная Сибирь"
2336,"05. див. Юг"
829,"11. див. Северо-Западный"
515,"06. див. Средняя Волга"
489,"03. див. Западная Сибирь"
3260,"02. див. Восточная Сибирь"
203,"07. див. Верхняя Волга"
495,"03. див. Западная Сибирь"
3052,"05. див. Юг"
1197,"02. див. Восточная Сибирь"
1558,"04. див. Урал"
1031,"04. див. Урал"
775,"08. див. Центральный"
1215,"07. див. Верхняя Волга"
623,"06. див. Средняя Волга"
1315,"10. див. Приволжский"
430,"04. див. Урал"
675,"05. див. Юг"
1204,"03. див. Западная Сибирь"
2935,"06. див. Средняя Волга"
82,"03. див. Западная Сибирь"
677,"06. див. Средняя Волга"
1033,"06. див. Средняя Волга"
1094,"05. див. Юг"
813,"01. див. Дальний Восток"
847,"02. див. Восточная Сибирь"
1026,"05. див. Юг"
1662,"04. див. Урал"
220,"02. див. Восточная Сибирь"
1184,"02. див. Восточная Сибирь"
1806,"02. див. Восточная Сибирь"
709,"10. див. Приволжский"
1807,"02. див. Восточная Сибирь"
1808,"03. див. Западная Сибирь"
138,"02. див. Восточная Сибирь"
1095,"09. див. Черноземье"
1239,"09. див. Черноземье"
1810,"04. див. Урал"
2266,"02. див. Восточная Сибирь"
831,"04. див. Урал"
793,"07. див. Верхняя Волга"
3182,"11. див. Северо-Западный"
1331,"03. див. Западная Сибирь"
93,"03. див. Западная Сибирь"
1254,"04. див. Урал"
519,"03. див. Западная Сибирь"
2856,"05. див. Юг"
885,"08. див. Центральный"
1357,"05. див. Юг"
1069,"10. див. Приволжский"
66,"01. див. Дальний Восток"
1644,"01. див. Дальний Восток"
573,"06. див. Средняя Волга"
828,"01. див. Дальний Восток"
662,"08. див. Центральный"
1814,"01. див. Дальний Восток"
3161,"09. див. Черноземье"
1316,"10. див. Приволжский"
173,"04. див. Урал"
1905,"09. див. Черноземье"
279,"01. див. Дальний Восток"
679,"06. див. Средняя Волга"
917,"08. див. Центральный"
1151,"09. див. Черноземье"
1015,"04. див. Урал"
3146,"03. див. Западная Сибирь"
1372,"10. див. Приволжский"
1345,"04. див. Урал"
704,"10. див. Приволжский"
692,"09. див. Черноземье"
1380,"10. див. Приволжский"
1409,"05. див. Юг"
892,"06. див. Средняя Волга"
886,"02. див. Восточная Сибирь"
943,"09. див. Черноземье"
906,"03. див. Западная Сибирь"
905,"03. див. Западная Сибирь"
1381,"10. див. Приволжский"
1408,"05. див. Юг"
901,"08. див. Центральный"
887,"02. див. Восточная Сибирь"
902,"08. див. Центральный"
879,"01. див. Дальний Восток"
903,"04. див. Урал"
1007,"10. див. Приволжский"
884,"01. див. Дальний Восток"
891,"06. див. Средняя Волга"
907,"03. див. Западная Сибирь"
889,"07. див. Верхняя Волга"
894,"05. див. Юг"
1805,"01. див. Дальний Восток"
3139,"11. див. Северо-Западный"
944,"09. див. Черноземье"
904,"04. див. Урал"
3257,"08. див. Центральный"
3088,"10. див. Приволжский"
3168,"07. див. Верхняя Волга"
3283,"03. див. Западная Сибирь"
3287,"06. див. Средняя Волга"
3289,"01. див. Дальний Восток"
3290,"01. див. Дальний Восток"
3160,"04. див. Урал"
3172,"11. див. Северо-Западный"
3258,"05. див. Юг"
3162,"09. див. Черноземье"
1803,"02. див. Восточная Сибирь"
2425,"06. див. Средняя Волга"
568,"09. див. Черноземье"
1724,"03. див. Западная Сибирь"
306,"07. див. Верхняя Волга"
893,"02. див. Восточная Сибирь"
1090,"03. див. Западная Сибирь"
2451,"03. див. Западная Сибирь"
592,"08. див. Центральный"
2429,"04. див. Урал"
460,"08. див. Центральный"
620,"05. див. Юг"
566,"02. див. Восточная Сибирь"
3276,"02. див. Восточная Сибирь"
145,"05. див. Юг"
3142,"11. див. Северо-Западный"
3209,"11. див. Северо-Западный"
3138,"11. див. Северо-Западный"
3145,"11. див. Северо-Западный"
184,"09. див. Черноземье"
185,"05. див. Юг"
300,"06. див. Средняя Волга"
302,"04. див. Урал"
3403,"03. див. Западная Сибирь"
3416,"04. див. Урал"
121,"04. див. Урал"
443,"01. див. Дальний Восток"
581,"08. див. Центральный"
193,"06. див. Средняя Волга"
187,"06. див. Средняя Волга"
188,"04. див. Урал"
567,"09. див. Черноземье"
1412,"01. див. Дальний Восток"
312,"09. див. Черноземье"
619,"05. див. Юг"
615,"05. див. Юг"
2450,"03. див. Западная Сибирь"
397,"07. див. Верхняя Волга"
596,"07. див. Верхняя Волга"
583,"10. див. Приволжский"
194,"07. див. Верхняя Волга"
3320,"01. див. Дальний Восток"
3328,"10. див. Приволжский"
2422,"01. див. Дальний Восток"
3197,"08. див. Центральный"
3598,"05. див. Юг"
3599,"05. див. Юг"
3775,"11. див. Северо-Западный"
3866,"10. див. Приволжский"
4075,"07. див. Верхняя Волга"
4085,"06. див. Средняя Волга"
4187,"11. див. Северо-Западный"
4188,"11. див. Северо-Западный"
4192,"10. див. Приволжский"
4215,"04. див. Урал"
4216,"04. див. Урал"
4217,"04. див. Урал"
4218,"04. див. Урал"
4101,"01. див. Дальний Восток"
4195,"08. див. Центральный"
4210,"05. див. Юг"
4211,"05. див. Юг"
4212,"05. див. Юг"
4213,"05. див. Юг"
4214,"02. див. Восточная Сибирь"
4242,"01. див. Дальний Восток"
4341,"06. див. Средняя Волга"
4391,"09. див. Черноземье"
4412,"01. див. Дальний Восток"
4420,"01. див. Дальний Восток"
4421,"01. див. Дальний Восток"
4422,"01. див. Дальний Восток"
4423,"01. див. Дальний Восток"
4424,"01. див. Дальний Восток"
4455,"09. див. Черноземье"
4594,"09. див. Черноземье"
4741,"06. див. Средняя Волга"
4771,"07. див. Верхняя Волга"
4813,"07. див. Верхняя Волга"
4814,"07. див. Верхняя Волга"
4816,"07. див. Верхняя Волга"
4819,"07. див. Верхняя Волга"
4820,"07. див. Верхняя Волга"
4821,"07. див. Верхняя Волга"
3141,"11. див. Северо-Западный"
612,"07. див. Верхняя Волга"
897,"03. див. Западная Сибирь"
3118,"08. див. Центральный"
985,"09. див. Черноземье"
19,"01. див. Дальний Восток"
27,"02. див. Восточная Сибирь"
3233,"06. див. Средняя Волга"
899,"01. див. Дальний Восток"
418,"10. див. Приволжский"
616,"05. див. Юг"
1777,"02. див. Восточная Сибирь"
3198,"08. див. Центральный"
1778,"05. див. Юг"
961,"06. див. Средняя Волга"
3143,"11. див. Северо-Западный"
2423,"01. див. Дальний Восток"
2424,"06. див. Средняя Волга"
3144,"11. див. Северо-Западный"
21,"01. див. Дальний Восток"
603,"10. див. Приволжский"
73,"03. див. Западная Сибирь"
2737,"04. див. Урал"
209,"10. див. Приволжский"
307,"07. див. Верхняя Волга"
621,"05. див. Юг"
156,"04. див. Урал"
284,"08. див. Центральный"
61,"03. див. Западная Сибирь"
115,"03. див. Западная Сибирь"
417,"10. див. Приволжский"
996,"04. див. Урал"
416,"10. див. Приволжский"
584,"08. див. Центральный"
617,"05. див. Юг"
292,"09. див. Черноземье"
2884,"08. див. Центральный"
3047,"04. див. Урал"
310,"09. див. Черноземье"
64,"02. див. Восточная Сибирь"
3345,"02. див. Восточная Сибирь"
1280,"01. див. Дальний Восток"
3232,"07. див. Верхняя Волга"
2395,"03. див. Западная Сибирь"
109,"03. див. Западная Сибирь"
526,"01. див. Дальний Восток"
4012,"03. див. Западная Сибирь"
165,"02. див. Восточная Сибирь"
3003,"10. див. Приволжский"
390,"02. див. Восточная Сибирь"
3178,"07. див. Верхняя Волга"
392,"03. див. Западная Сибирь"
506,"02. див. Восточная Сибирь"
611,"04. див. Урал"
2798,"08. див. Центральный"
4328,"11. див. Северо-Западный"
608,"10. див. Приволжский"
1562,"10. див. Приволжский"
556,"10. див. Приволжский"
2321,"04. див. Урал"
1560,"10. див. Приволжский"
3040,"10. див. Приволжский"
1311,"04. див. Урал"
555,"10. див. Приволжский"
190,"03. див. Западная Сибирь"
545,"09. див. Черноземье"
3463,"10. див. Приволжский"
2142,"09. див. Черноземье"
2261,"09. див. Черноземье"
2743,"10. див. Приволжский"
549,"09. див. Черноземье"
2019,"07. див. Верхняя Волга"
4078,"09. див. Черноземье"
4356,"09. див. Черноземье"
4357,"09. див. Черноземье"
4358,"09. див. Черноземье"
4359,"09. див. Черноземье"
4360,"09. див. Черноземье"
4361,"09. див. Черноземье"
4362,"09. див. Черноземье"
4355,"09. див. Черноземье"
4363,"09. див. Черноземье"
4868,"07. див. Верхняя Волга"
4869,"07. див. Верхняя Волга"
4861,"03. див. Западная Сибирь"
2042,"09. див. Черноземье"
606,"01. див. Дальний Восток"
3292,"10. див. Приволжский"
3229,"11. див. Северо-Западный"
4469,"10. див. Приволжский"
2863,"07. див. Верхняя Волга"
4019,"03. див. Западная Сибирь"
626,"04. див. Урал"
3,"01. див. Дальний Восток"
4,"01. див. Дальний Восток"
599,"04. див. Урал"
4083,"09. див. Черноземье"
23,"01. див. Дальний Восток"
3000,"04. див. Урал"
2058,"09. див. Черноземье"
108,"03. див. Западная Сибирь"
920,"02. див. Восточная Сибирь"
422,"01. див. Дальний Восток"
2987,"11. див. Северо-Западный"
536,"09. див. Черноземье"
259,"03. див. Западная Сибирь"
154,"03. див. Западная Сибирь"
562,"02. див. Восточная Сибирь"
242,"02. див. Восточная Сибирь"
2547,"04. див. Урал"
2642,"01. див. Дальний Восток"
3122,"07. див. Верхняя Волга"
116,"01. див. Дальний Восток"
117,"01. див. Дальний Восток"
118,"01. див. Дальний Восток"
119,"02. див. Восточная Сибирь"
120,"02. див. Восточная Сибирь"
598,"04. див. Урал"
2740,"07. див. Верхняя Волга"
1719,"01. див. Дальний Восток"
2251,"07. див. Верхняя Волга"
2662,"02. див. Восточная Сибирь"
3056,"06. див. Средняя Волга"
3655,"10. див. Приволжский"
3502,"04. див. Урал"
2404,"08. див. Центральный"
2508,"04. див. Урал"
2562,"02. див. Восточная Сибирь"
3405,"02. див. Восточная Сибирь"
2663,"03. див. Западная Сибирь"
2507,"04. див. Урал"
2375,"11. див. Северо-Западный"
2511,"04. див. Урал"
2386,"11. див. Северо-Западный"
3914,"09. див. Черноземье"
2512,"04. див. Урал"
2713,"02. див. Восточная Сибирь"
2430,"04. див. Урал"
2559,"04. див. Урал"
2387,"11. див. Северо-Западный"
2434,"08. див. Центральный"
1725,"01. див. Дальний Восток"
2513,"04. див. Урал"
2398,"08. див. Центральный"
1726,"02. див. Восточная Сибирь"
2649,"11. див. Северо-Западный"
2765,"04. див. Урал"
1729,"06. див. Средняя Волга"
2701,"08. див. Центральный"
2702,"08. див. Центральный"
2514,"04. див. Урал"
2703,"08. див. Центральный"
3754,"01. див. Дальний Восток"
3149,"02. див. Восточная Сибирь"
1920,"07. див. Верхняя Волга"
1731,"03. див. Западная Сибирь"
1732,"07. див. Верхняя Волга"
507,"01. див. Дальний Восток"
2619,"04. див. Урал"
2515,"04. див. Урал"
2516,"04. див. Урал"
2399,"08. див. Центральный"
1734,"03. див. Западная Сибирь"
2539,"04. див. Урал"
2374,"11. див. Северо-Западный"
2775,"03. див. Западная Сибирь"
2101,"09. див. Черноземье"
3508,"06. див. Средняя Волга"
1737,"02. див. Восточная Сибирь"
1879,"03. див. Западная Сибирь"
2011,"10. див. Приволжский"
2538,"04. див. Урал"
1739,"03. див. Западная Сибирь"
2566,"04. див. Урал"
4303,"03. див. Западная Сибирь"
1978,"06. див. Средняя Волга"
3957,"03. див. Западная Сибирь"
4468,"09. див. Черноземье"
4168,"05. див. Юг"
2620,"11. див. Северо-Западный"
2506,"04. див. Урал"
2954,"03. див. Западная Сибирь"
594,"04. див. Урал"
2388,"11. див. Северо-Западный"
2054,"04. див. Урал"
2736,"04. див. Урал"
2400,"08. див. Центральный"
2617,"04. див. Урал"
4404,"09. див. Черноземье"
1742,"03. див. Западная Сибирь"
2574,"08. див. Центральный"
4369,"02. див. Восточная Сибирь"
2549,"04. див. Урал"
2575,"08. див. Центральный"
2893,"09. див. Черноземье"
1703,"01. див. Дальний Восток"
2550,"04. див. Урал"
2669,"10. див. Приволжский"
1745,"04. див. Урал"
2491,"10. див. Приволжский"
2509,"04. див. Урал"
2205,"09. див. Черноземье"
1907,"06. див. Средняя Волга"
2443,"11. див. Северо-Западный"
2510,"04. див. Урал"
1747,"01. див. Дальний Восток"
1748,"02. див. Восточная Сибирь"
3153,"04. див. Урал"
2488,"10. див. Приволжский"
1749,"03. див. Западная Сибирь"
1750,"01. див. Дальний Восток"
2489,"10. див. Приволжский"
